fovIDs,xStart,yStart,xEnd,yEnd
0,-3357.407,-4078.207,-3134.284,-3855.084
1,-3357.407,-3878.207,-3134.284,-3655.084
2,-3357.407,-3678.207,-3134.284,-3455.084
3,-3357.407,-3478.207,-3134.284,-3255.084
4,-3357.407,-3278.207,-3134.284,-3055.084
5,-3357.407,-3078.207,-3134.284,-2855.084
6,-3357.407,-2878.207,-3134.284,-2655.084
7,-3357.407,-2678.207,-3134.284,-2455.084
8,-3357.407,-2478.207,-3134.284,-2255.084
9,-3157.407,-2478.207,-2934.284,-2255.084
10,-3157.407,-2678.207,-2934.284,-2455.084
11,-3157.407,-2878.207,-2934.284,-2655.084
12,-3157.407,-3078.207,-2934.284,-2855.084
13,-3157.407,-3278.207,-2934.284,-3055.084
14,-3157.407,-3478.207,-2934.284,-3255.084
15,-3157.407,-3678.207,-2934.284,-3455.084
16,-3157.407,-3878.207,-2934.284,-3655.084
17,-3157.407,-4078.207,-2934.284,-3855.084
18,-2957.407,-4078.207,-2734.284,-3855.084
19,-2957.407,-3878.207,-2734.284,-3655.084
20,-2957.407,-3678.207,-2734.284,-3455.084
21,-2957.407,-3478.207,-2734.284,-3255.084
22,-2957.407,-3278.207,-2734.284,-3055.084
23,-2957.407,-3078.207,-2734.284,-2855.084
24,-2957.407,-2878.207,-2734.284,-2655.084
25,-2957.407,-2678.207,-2734.284,-2455.084
26,-2957.407,-2478.207,-2734.284,-2255.084
27,-2757.407,-2478.207,-2534.284,-2255.084
28,-2757.407,-2678.207,-2534.284,-2455.084
29,-2757.407,-2878.207,-2534.284,-2655.084
30,-2757.407,-3078.207,-2534.284,-2855.084
31,-2757.407,-3278.207,-2534.284,-3055.084
32,-2757.407,-3478.207,-2534.284,-3255.084
33,-2757.407,-3678.207,-2534.284,-3455.084
34,-2757.407,-3878.207,-2534.284,-3655.084
35,-2757.407,-4078.207,-2534.284,-3855.084
36,-2557.407,-4078.207,-2334.284,-3855.084
37,-2557.407,-3878.207,-2334.284,-3655.084
38,-2557.407,-3678.207,-2334.284,-3455.084
39,-2557.407,-3478.207,-2334.284,-3255.084
40,-2557.407,-3278.207,-2334.284,-3055.084
41,-2557.407,-3078.207,-2334.284,-2855.084
42,-2557.407,-2878.207,-2334.284,-2655.084
43,-2557.407,-2678.207,-2334.284,-2455.084
44,-2557.407,-2478.207,-2334.284,-2255.084
45,-2357.407,-2478.207,-2134.284,-2255.084
46,-2357.407,-2678.207,-2134.284,-2455.084
47,-2357.407,-2878.207,-2134.284,-2655.084
48,-2357.407,-3078.207,-2134.284,-2855.084
49,-2357.407,-3278.207,-2134.284,-3055.084
50,-2357.407,-3478.207,-2134.284,-3255.084
51,-2357.407,-3678.207,-2134.284,-3455.084
52,-2357.407,-3878.207,-2134.284,-3655.084
53,-2357.407,-4078.207,-2134.284,-3855.084
54,-2157.407,-4078.207,-1934.284,-3855.084
55,-2157.407,-3878.207,-1934.284,-3655.084
56,-2157.407,-3678.207,-1934.284,-3455.084
57,-2157.407,-3478.207,-1934.284,-3255.084
58,-2157.407,-3278.207,-1934.284,-3055.084
59,-2157.407,-3078.207,-1934.284,-2855.084
60,-2157.407,-2878.207,-1934.284,-2655.084
61,-2157.407,-2678.207,-1934.284,-2455.084
62,-2157.407,-2478.207,-1934.284,-2255.084
63,-1957.407,-2478.207,-1734.284,-2255.084
64,-1957.407,-2678.207,-1734.284,-2455.084
65,-1957.407,-2878.207,-1734.284,-2655.084
66,-1957.407,-3078.207,-1734.284,-2855.084
67,-1957.407,-3278.207,-1734.284,-3055.084
68,-1957.407,-3478.207,-1734.284,-3255.084
69,-1957.407,-3678.207,-1734.284,-3455.084
70,-1957.407,-3878.207,-1734.284,-3655.084
71,-1957.407,-4078.207,-1734.284,-3855.084
72,-1757.407,-4078.207,-1534.284,-3855.084
73,-1757.407,-3878.207,-1534.284,-3655.084
74,-1757.407,-3678.207,-1534.284,-3455.084
75,-1757.407,-3478.207,-1534.284,-3255.084
76,-1757.407,-3278.207,-1534.284,-3055.084
77,-1757.407,-3078.207,-1534.284,-2855.084
78,-1757.407,-2878.207,-1534.284,-2655.084
79,-1757.407,-2678.207,-1534.284,-2455.084
80,-1757.407,-2478.207,-1534.284,-2255.084
81,-3119.707,-888.507,-2896.584,-665.384
82,-3119.707,-688.507,-2896.584,-465.384
83,-3119.707,-488.507,-2896.584,-265.384
84,-3119.707,-288.507,-2896.584,-65.384
85,-3119.707,-88.507,-2896.584,134.616
86,-3119.707,111.493,-2896.584,334.616
87,-3119.707,311.493,-2896.584,534.616
88,-3119.707,511.493,-2896.584,734.616
89,-3119.707,711.493,-2896.584,934.616
90,-2919.707,711.493,-2696.584,934.616
91,-2919.707,511.493,-2696.584,734.616
92,-2919.707,311.493,-2696.584,534.616
93,-2919.707,111.493,-2696.584,334.616
94,-2919.707,-88.507,-2696.584,134.616
95,-2919.707,-288.507,-2696.584,-65.384
96,-2919.707,-488.507,-2696.584,-265.384
97,-2919.707,-688.507,-2696.584,-465.384
98,-2919.707,-888.507,-2696.584,-665.384
99,-2719.707,-888.507,-2496.584,-665.384
100,-2719.707,-688.507,-2496.584,-465.384
101,-2719.707,-488.507,-2496.584,-265.384
102,-2719.707,-288.507,-2496.584,-65.384
103,-2719.707,-88.507,-2496.584,134.616
104,-2719.707,111.493,-2496.584,334.616
105,-2719.707,311.493,-2496.584,534.616
106,-2719.707,511.493,-2496.584,734.616
107,-2719.707,711.493,-2496.584,934.616
108,-2519.807,711.493,-2296.684,934.616
109,-2519.807,511.493,-2296.684,734.616
110,-2519.807,311.493,-2296.684,534.616
111,-2519.807,111.493,-2296.684,334.616
112,-2519.807,-88.507,-2296.684,134.616
113,-2519.807,-288.507,-2296.684,-65.384
114,-2519.807,-488.507,-2296.684,-265.384
115,-2519.807,-688.507,-2296.684,-465.384
116,-2519.807,-888.507,-2296.684,-665.384
117,-2319.807,-888.507,-2096.684,-665.384
118,-2319.807,-688.507,-2096.684,-465.384
119,-2319.807,-488.507,-2096.684,-265.384
120,-2319.807,-288.507,-2096.684,-65.384
121,-2319.807,-88.507,-2096.684,134.616
122,-2319.807,111.493,-2096.684,334.616
123,-2319.807,311.493,-2096.684,534.616
124,-2319.807,511.493,-2096.684,734.616
125,-2319.807,711.493,-2096.684,934.616
126,-2119.707,711.493,-1896.584,934.616
127,-2119.707,511.493,-1896.584,734.616
128,-2119.707,311.493,-1896.584,534.616
129,-2119.707,111.493,-1896.584,334.616
130,-2119.707,-88.507,-1896.584,134.616
131,-2119.707,-288.507,-1896.584,-65.384
132,-2119.707,-488.507,-1896.584,-265.384
133,-2119.707,-688.507,-1896.584,-465.384
134,-2119.707,-888.507,-1896.584,-665.384
135,-1919.707,-888.507,-1696.584,-665.384
136,-1919.707,-688.507,-1696.584,-465.384
137,-1919.707,-488.507,-1696.584,-265.384
138,-1919.707,-288.507,-1696.584,-65.384
139,-1919.707,-88.507,-1696.584,134.616
140,-1919.707,111.493,-1696.584,334.616
141,-1919.707,311.493,-1696.584,534.616
142,-1919.707,511.493,-1696.584,734.616
143,-1919.707,711.493,-1696.584,934.616
144,-1719.707,711.493,-1496.584,934.616
145,-1719.707,511.493,-1496.584,734.616
146,-1719.707,311.493,-1496.584,534.616
147,-1719.707,111.493,-1496.584,334.616
148,-1719.707,-88.507,-1496.584,134.616
149,-1719.707,-288.507,-1496.584,-65.384
150,-1719.707,-488.507,-1496.584,-265.384
151,-1719.707,-688.507,-1496.584,-465.384
152,-1719.707,-888.507,-1496.584,-665.384
153,-1519.807,-888.507,-1296.684,-665.384
154,-1519.807,-688.507,-1296.684,-465.384
155,-1519.807,-488.507,-1296.684,-265.384
156,-1519.807,-288.507,-1296.684,-65.384
157,-1519.807,-88.507,-1296.684,134.616
158,-1519.807,111.493,-1296.684,334.616
159,-1519.807,311.493,-1296.684,534.616
160,-1519.807,511.493,-1296.684,734.616
161,-1519.807,711.493,-1296.684,934.616
162,-3230.207,2575.693,-3007.084,2798.816
163,-3230.207,2775.693,-3007.084,2998.816
164,-3230.207,2975.693,-3007.084,3198.816
165,-3230.207,3175.693,-3007.084,3398.816
166,-3230.207,3375.693,-3007.084,3598.816
167,-3230.207,3575.693,-3007.084,3798.816
168,-3230.207,3775.693,-3007.084,3998.816
169,-3230.207,3975.693,-3007.084,4198.816
170,-3230.207,4175.693,-3007.084,4398.816
171,-3030.207,4175.693,-2807.084,4398.816
172,-3030.207,3975.693,-2807.084,4198.816
173,-3030.207,3775.693,-2807.084,3998.816
174,-3030.207,3575.693,-2807.084,3798.816
175,-3030.207,3375.693,-2807.084,3598.816
176,-3030.207,3175.693,-2807.084,3398.816
177,-3030.207,2975.693,-2807.084,3198.816
178,-3030.207,2775.693,-2807.084,2998.816
179,-3030.207,2575.693,-2807.084,2798.816
180,-2830.207,2575.693,-2607.084,2798.816
181,-2830.207,2775.693,-2607.084,2998.816
182,-2830.207,2975.693,-2607.084,3198.816
183,-2830.207,3175.693,-2607.084,3398.816
184,-2830.207,3375.693,-2607.084,3598.816
185,-2830.207,3575.693,-2607.084,3798.816
186,-2830.207,3775.693,-2607.084,3998.816
187,-2830.207,3975.693,-2607.084,4198.816
188,-2830.207,4175.693,-2607.084,4398.816
189,-2630.207,4175.693,-2407.084,4398.816
190,-2630.207,3975.693,-2407.084,4198.816
191,-2630.207,3775.693,-2407.084,3998.816
192,-2630.207,3575.693,-2407.084,3798.816
193,-2630.207,3375.693,-2407.084,3598.816
194,-2630.207,3175.693,-2407.084,3398.816
195,-2630.207,2975.693,-2407.084,3198.816
196,-2630.207,2775.693,-2407.084,2998.816
197,-2630.207,2575.693,-2407.084,2798.816
198,-2430.207,2575.693,-2207.084,2798.816
199,-2430.207,2775.693,-2207.084,2998.816
200,-2430.207,2975.693,-2207.084,3198.816
201,-2430.207,3175.693,-2207.084,3398.816
202,-2430.207,3375.693,-2207.084,3598.816
203,-2430.207,3575.693,-2207.084,3798.816
204,-2430.207,3775.693,-2207.084,3998.816
205,-2430.207,3975.693,-2207.084,4198.816
206,-2430.207,4175.693,-2207.084,4398.816
207,-2230.207,4175.693,-2007.084,4398.816
208,-2230.207,3975.693,-2007.084,4198.816
209,-2230.207,3775.693,-2007.084,3998.816
210,-2230.207,3575.693,-2007.084,3798.816
211,-2230.207,3375.693,-2007.084,3598.816
212,-2230.207,3175.693,-2007.084,3398.816
213,-2230.207,2975.693,-2007.084,3198.816
214,-2230.207,2775.693,-2007.084,2998.816
215,-2230.207,2575.693,-2007.084,2798.816
216,-2030.207,2575.693,-1807.084,2798.816
217,-2030.207,2775.693,-1807.084,2998.816
218,-2030.207,2975.693,-1807.084,3198.816
219,-2030.207,3175.693,-1807.084,3398.816
220,-2030.207,3375.693,-1807.084,3598.816
221,-2030.207,3575.693,-1807.084,3798.816
222,-2030.207,3775.693,-1807.084,3998.816
223,-2030.207,3975.693,-1807.084,4198.816
224,-2030.207,4175.693,-1807.084,4398.816
225,-1830.207,4175.693,-1607.084,4398.816
226,-1830.207,3975.693,-1607.084,4198.816
227,-1830.207,3775.693,-1607.084,3998.816
228,-1830.207,3575.693,-1607.084,3798.816
229,-1830.207,3375.693,-1607.084,3598.816
230,-1830.207,3175.693,-1607.084,3398.816
231,-1830.207,2975.693,-1607.084,3198.816
232,-1830.207,2775.693,-1607.084,2998.816
233,-1830.207,2575.693,-1607.084,2798.816
234,-1630.207,2575.693,-1407.084,2798.816
235,-1630.207,2775.693,-1407.084,2998.816
236,-1630.207,2975.693,-1407.084,3198.816
237,-1630.207,3175.693,-1407.084,3398.816
238,-1630.207,3375.693,-1407.084,3598.816
239,-1630.207,3575.693,-1407.084,3798.816
240,-1630.207,3775.693,-1407.084,3998.816
241,-1630.207,3975.693,-1407.084,4198.816
242,-1630.207,4175.693,-1407.084,4398.816
243,1315.193,2184.593,1538.316,2407.716
244,1315.193,2384.593,1538.316,2607.716
245,1315.193,2584.593,1538.316,2807.716
246,1315.193,2784.593,1538.316,3007.716
247,1315.193,2984.593,1538.316,3207.716
248,1315.193,3184.593,1538.316,3407.716
249,1315.193,3384.593,1538.316,3607.716
250,1315.193,3584.593,1538.316,3807.716
251,1315.193,3784.593,1538.316,4007.716
252,1515.193,3784.593,1738.316,4007.716
253,1515.193,3584.593,1738.316,3807.716
254,1515.193,3384.593,1738.316,3607.716
255,1515.193,3184.593,1738.316,3407.716
256,1515.193,2984.593,1738.316,3207.716
257,1515.193,2784.593,1738.316,3007.716
258,1515.193,2584.593,1738.316,2807.716
259,1515.193,2384.593,1738.316,2607.716
260,1515.193,2184.593,1738.316,2407.716
261,1715.093,2184.593,1938.216,2407.716
262,1715.093,2384.593,1938.216,2607.716
263,1715.093,2584.593,1938.216,2807.716
264,1715.093,2784.593,1938.216,3007.716
265,1715.093,2984.593,1938.216,3207.716
266,1715.093,3184.593,1938.216,3407.716
267,1715.093,3384.593,1938.216,3607.716
268,1715.093,3584.593,1938.216,3807.716
269,1715.093,3784.593,1938.216,4007.716
270,1915.093,3784.593,2138.216,4007.716
271,1915.093,3584.593,2138.216,3807.716
272,1915.093,3384.593,2138.216,3607.716
273,1915.093,3184.593,2138.216,3407.716
274,1915.093,2984.593,2138.216,3207.716
275,1915.093,2784.593,2138.216,3007.716
276,1915.093,2584.593,2138.216,2807.716
277,1915.093,2384.593,2138.216,2607.716
278,1915.093,2184.593,2138.216,2407.716
279,2115.093,2184.593,2338.216,2407.716
280,2115.093,2384.593,2338.216,2607.716
281,2115.093,2584.593,2338.216,2807.716
282,2115.093,2784.593,2338.216,3007.716
283,2115.093,2984.593,2338.216,3207.716
284,2115.093,3184.593,2338.216,3407.716
285,2115.093,3384.593,2338.216,3607.716
286,2115.093,3584.593,2338.216,3807.716
287,2115.093,3784.593,2338.216,4007.716
288,2315.193,3784.593,2538.316,4007.716
289,2315.193,3584.593,2538.316,3807.716
290,2315.193,3384.593,2538.316,3607.716
291,2315.193,3184.593,2538.316,3407.716
292,2315.193,2984.593,2538.316,3207.716
293,2315.193,2784.593,2538.316,3007.716
294,2315.193,2584.593,2538.316,2807.716
295,2315.193,2384.593,2538.316,2607.716
296,2315.193,2184.593,2538.316,2407.716
297,2515.193,2184.593,2738.316,2407.716
298,2515.193,2384.593,2738.316,2607.716
299,2515.193,2584.593,2738.316,2807.716
300,2515.193,2784.593,2738.316,3007.716
301,2515.193,2984.593,2738.316,3207.716
302,2515.193,3184.593,2738.316,3407.716
303,2515.193,3384.593,2738.316,3607.716
304,2515.193,3584.593,2738.316,3807.716
305,2515.193,3784.593,2738.316,4007.716
306,2715.093,3784.593,2938.216,4007.716
307,2715.093,3584.593,2938.216,3807.716
308,2715.093,3384.593,2938.216,3607.716
309,2715.093,3184.593,2938.216,3407.716
310,2715.093,2984.593,2938.216,3207.716
311,2715.093,2784.593,2938.216,3007.716
312,2715.093,2584.593,2938.216,2807.716
313,2715.093,2384.593,2938.216,2607.716
314,2715.093,2184.593,2938.216,2407.716
315,2915.093,2184.593,3138.216,2407.716
316,2915.093,2384.593,3138.216,2607.716
317,2915.093,2584.593,3138.216,2807.716
318,2915.093,2784.593,3138.216,3007.716
319,2915.093,2984.593,3138.216,3207.716
320,2915.093,3184.593,3138.216,3407.716
321,2915.093,3384.593,3138.216,3607.716
322,2915.093,3584.593,3138.216,3807.716
323,2915.093,3784.593,3138.216,4007.716
324,1384.193,-727.507,1607.316,-504.384
325,1384.193,-527.507,1607.316,-304.384
326,1384.193,-327.507,1607.316,-104.384
327,1384.193,-127.507,1607.316,95.616
328,1384.193,72.493,1607.316,295.616
329,1384.193,272.493,1607.316,495.616
330,1384.193,472.493,1607.316,695.616
331,1384.193,672.493,1607.316,895.616
332,1384.193,872.493,1607.316,1095.616
333,1584.193,872.493,1807.316,1095.616
334,1584.193,672.493,1807.316,895.616
335,1584.193,472.493,1807.316,695.616
336,1584.193,272.493,1807.316,495.616
337,1584.193,72.493,1807.316,295.616
338,1584.193,-127.507,1807.316,95.616
339,1584.193,-327.507,1807.316,-104.384
340,1584.193,-527.507,1807.316,-304.384
341,1584.193,-727.507,1807.316,-504.384
342,1784.193,-727.507,2007.316,-504.384
343,1784.193,-527.507,2007.316,-304.384
344,1784.193,-327.507,2007.316,-104.384
345,1784.193,-127.507,2007.316,95.616
346,1784.193,72.493,2007.316,295.616
347,1784.193,272.493,2007.316,495.616
348,1784.193,472.493,2007.316,695.616
349,1784.193,672.493,2007.316,895.616
350,1784.193,872.493,2007.316,1095.616
351,1984.193,872.493,2207.316,1095.616
352,1984.193,672.493,2207.316,895.616
353,1984.193,472.493,2207.316,695.616
354,1984.193,272.493,2207.316,495.616
355,1984.193,72.493,2207.316,295.616
356,1984.193,-127.507,2207.316,95.616
357,1984.193,-327.507,2207.316,-104.384
358,1984.193,-527.507,2207.316,-304.384
359,1984.193,-727.507,2207.316,-504.384
360,2184.193,-727.507,2407.316,-504.384
361,2184.193,-527.507,2407.316,-304.384
362,2184.193,-327.507,2407.316,-104.384
363,2184.193,-127.507,2407.316,95.616
364,2184.193,72.493,2407.316,295.616
365,2184.193,272.493,2407.316,495.616
366,2184.193,472.493,2407.316,695.616
367,2184.193,672.493,2407.316,895.616
368,2184.193,872.493,2407.316,1095.616
369,2384.193,872.493,2607.316,1095.616
370,2384.193,672.493,2607.316,895.616
371,2384.193,472.493,2607.316,695.616
372,2384.193,272.493,2607.316,495.616
373,2384.193,72.493,2607.316,295.616
374,2384.193,-127.507,2607.316,95.616
375,2384.193,-327.507,2607.316,-104.384
376,2384.193,-527.507,2607.316,-304.384
377,2384.193,-727.507,2607.316,-504.384
378,2584.193,-727.507,2807.316,-504.384
379,2584.193,-527.507,2807.316,-304.384
380,2584.193,-327.507,2807.316,-104.384
381,2584.193,-127.507,2807.316,95.616
382,2584.193,72.493,2807.316,295.616
383,2584.193,272.493,2807.316,495.616
384,2584.193,472.493,2807.316,695.616
385,2584.193,672.493,2807.316,895.616
386,2584.193,872.493,2807.316,1095.616
387,2784.193,872.493,3007.316,1095.616
388,2784.193,672.493,3007.316,895.616
389,2784.193,472.493,3007.316,695.616
390,2784.193,272.493,3007.316,495.616
391,2784.193,72.493,3007.316,295.616
392,2784.193,-127.507,3007.316,95.616
393,2784.193,-327.507,3007.316,-104.384
394,2784.193,-527.507,3007.316,-304.384
395,2784.193,-727.507,3007.316,-504.384
396,2984.193,-727.507,3207.316,-504.384
397,2984.193,-527.507,3207.316,-304.384
398,2984.193,-327.507,3207.316,-104.384
399,2984.193,-127.507,3207.316,95.616
400,2984.193,72.493,3207.316,295.616
401,2984.193,272.493,3207.316,495.616
402,2984.193,472.493,3207.316,695.616
403,2984.193,672.493,3207.316,895.616
404,2984.193,872.493,3207.316,1095.616
405,1204.693,-4012.207,1427.816,-3789.084
406,1204.693,-3812.307,1427.816,-3589.184
407,1204.693,-3612.307,1427.816,-3389.184
408,1204.693,-3412.307,1427.816,-3189.184
409,1204.693,-3212.207,1427.816,-2989.084
410,1204.693,-3012.207,1427.816,-2789.084
411,1204.693,-2812.307,1427.816,-2589.184
412,1204.693,-2612.307,1427.816,-2389.184
413,1204.693,-2412.307,1427.816,-2189.184
414,1404.693,-2412.307,1627.816,-2189.184
415,1404.693,-2612.307,1627.816,-2389.184
416,1404.693,-2812.307,1627.816,-2589.184
417,1404.693,-3012.207,1627.816,-2789.084
418,1404.693,-3212.207,1627.816,-2989.084
419,1404.693,-3412.307,1627.816,-3189.184
420,1404.693,-3612.307,1627.816,-3389.184
421,1404.693,-3812.307,1627.816,-3589.184
422,1404.693,-4012.207,1627.816,-3789.084
423,1604.693,-4012.207,1827.816,-3789.084
424,1604.693,-3812.307,1827.816,-3589.184
425,1604.693,-3612.307,1827.816,-3389.184
426,1604.693,-3412.307,1827.816,-3189.184
427,1604.693,-3212.207,1827.816,-2989.084
428,1604.693,-3012.207,1827.816,-2789.084
429,1604.693,-2812.307,1827.816,-2589.184
430,1604.693,-2612.307,1827.816,-2389.184
431,1604.693,-2412.307,1827.816,-2189.184
432,1804.693,-2412.307,2027.816,-2189.184
433,1804.693,-2612.307,2027.816,-2389.184
434,1804.693,-2812.307,2027.816,-2589.184
435,1804.693,-3012.207,2027.816,-2789.084
436,1804.693,-3212.207,2027.816,-2989.084
437,1804.693,-3412.307,2027.816,-3189.184
438,1804.693,-3612.307,2027.816,-3389.184
439,1804.693,-3812.307,2027.816,-3589.184
440,1804.693,-4012.207,2027.816,-3789.084
441,2004.693,-4012.207,2227.816,-3789.084
442,2004.693,-3812.307,2227.816,-3589.184
443,2004.693,-3612.307,2227.816,-3389.184
444,2004.693,-3412.307,2227.816,-3189.184
445,2004.693,-3212.207,2227.816,-2989.084
446,2004.693,-3012.207,2227.816,-2789.084
447,2004.693,-2812.307,2227.816,-2589.184
448,2004.693,-2612.307,2227.816,-2389.184
449,2004.693,-2412.307,2227.816,-2189.184
450,2204.693,-2412.307,2427.816,-2189.184
451,2204.693,-2612.307,2427.816,-2389.184
452,2204.693,-2812.307,2427.816,-2589.184
453,2204.693,-3012.207,2427.816,-2789.084
454,2204.693,-3212.207,2427.816,-2989.084
455,2204.693,-3412.307,2427.816,-3189.184
456,2204.693,-3612.307,2427.816,-3389.184
457,2204.693,-3812.307,2427.816,-3589.184
458,2204.693,-4012.207,2427.816,-3789.084
459,2404.693,-4012.207,2627.816,-3789.084
460,2404.693,-3812.307,2627.816,-3589.184
461,2404.693,-3612.307,2627.816,-3389.184
462,2404.693,-3412.307,2627.816,-3189.184
463,2404.693,-3212.207,2627.816,-2989.084
464,2404.693,-3012.207,2627.816,-2789.084
465,2404.693,-2812.307,2627.816,-2589.184
466,2404.693,-2612.307,2627.816,-2389.184
467,2404.693,-2412.307,2627.816,-2189.184
468,2604.693,-2412.307,2827.816,-2189.184
469,2604.693,-2612.307,2827.816,-2389.184
470,2604.693,-2812.307,2827.816,-2589.184
471,2604.693,-3012.207,2827.816,-2789.084
472,2604.693,-3212.207,2827.816,-2989.084
473,2604.693,-3412.307,2827.816,-3189.184
474,2604.693,-3612.307,2827.816,-3389.184
475,2604.693,-3812.307,2827.816,-3589.184
476,2604.693,-4012.207,2827.816,-3789.084
477,2804.693,-4012.207,3027.816,-3789.084
478,2804.693,-3812.307,3027.816,-3589.184
479,2804.693,-3612.307,3027.816,-3389.184
480,2804.693,-3412.307,3027.816,-3189.184
481,2804.693,-3212.207,3027.816,-2989.084
482,2804.693,-3012.207,3027.816,-2789.084
483,2804.693,-2812.307,3027.816,-2589.184
484,2804.693,-2612.307,3027.816,-2389.184
485,2804.693,-2412.307,3027.816,-2189.184
