fovID,fovPosX,fovPosY
0,-3245.9,-3966.7
1,-3245.9,-3766.7
2,-3245.9,-3566.7
3,-3245.9,-3366.7
4,-3245.9,-3166.7
5,-3245.9,-2966.7
6,-3245.9,-2766.7
7,-3245.9,-2566.7
8,-3245.9,-2366.7
9,-3045.9,-2366.7
10,-3045.9,-2566.7
11,-3045.9,-2766.7
12,-3045.9,-2966.7
13,-3045.9,-3166.7
14,-3045.9,-3366.7
15,-3045.9,-3566.7
16,-3045.9,-3766.7
17,-3045.9,-3966.7
18,-2845.9,-3966.7
19,-2845.9,-3766.7
20,-2845.9,-3566.7
21,-2845.9,-3366.7
22,-2845.9,-3166.7
23,-2845.9,-2966.7
24,-2845.9,-2766.7
25,-2845.9,-2566.7
26,-2845.9,-2366.7
27,-2645.9,-2366.7
28,-2645.9,-2566.7
29,-2645.9,-2766.7
30,-2645.9,-2966.7
31,-2645.9,-3166.7
32,-2645.9,-3366.7
33,-2645.9,-3566.7
34,-2645.9,-3766.7
35,-2645.9,-3966.7
36,-2445.9,-3966.7
37,-2445.9,-3766.7
38,-2445.9,-3566.7
39,-2445.9,-3366.7
40,-2445.9,-3166.7
41,-2445.9,-2966.7
42,-2445.9,-2766.7
43,-2445.9,-2566.7
44,-2445.9,-2366.7
45,-2245.9,-2366.7
46,-2245.9,-2566.7
47,-2245.9,-2766.7
48,-2245.9,-2966.7
49,-2245.9,-3166.7
50,-2245.9,-3366.7
51,-2245.9,-3566.7
52,-2245.9,-3766.7
53,-2245.9,-3966.7
54,-2045.9,-3966.7
55,-2045.9,-3766.7
56,-2045.9,-3566.7
57,-2045.9,-3366.7
58,-2045.9,-3166.7
59,-2045.9,-2966.7
60,-2045.9,-2766.7
61,-2045.9,-2566.7
62,-2045.9,-2366.7
63,-1845.9,-2366.7
64,-1845.9,-2566.7
65,-1845.9,-2766.7
66,-1845.9,-2966.7
67,-1845.9,-3166.7
68,-1845.9,-3366.7
69,-1845.9,-3566.7
70,-1845.9,-3766.7
71,-1845.9,-3966.7
72,-1645.9,-3966.7
73,-1645.9,-3766.7
74,-1645.9,-3566.7
75,-1645.9,-3366.7
76,-1645.9,-3166.7
77,-1645.9,-2966.7
78,-1645.9,-2766.7
79,-1645.9,-2566.7
80,-1645.9,-2366.7
81,-3008.2,-777
82,-3008.2,-577
83,-3008.2,-377
84,-3008.2,-177
85,-3008.2,23
86,-3008.2,223
87,-3008.2,423
88,-3008.2,623
89,-3008.2,823
90,-2808.2,823
91,-2808.2,623
92,-2808.2,423
93,-2808.2,223
94,-2808.2,23
95,-2808.2,-177
96,-2808.2,-377
97,-2808.2,-577
98,-2808.2,-777
99,-2608.2,-777
100,-2608.2,-577
101,-2608.2,-377
102,-2608.2,-177
103,-2608.2,23
104,-2608.2,223
105,-2608.2,423
106,-2608.2,623
107,-2608.2,823
108,-2408.3,823
109,-2408.3,623
110,-2408.3,423
111,-2408.3,223
112,-2408.3,23
113,-2408.3,-177
114,-2408.3,-377
115,-2408.3,-577
116,-2408.3,-777
117,-2208.3,-777
118,-2208.3,-577
119,-2208.3,-377
120,-2208.3,-177
121,-2208.3,23
122,-2208.3,223
123,-2208.3,423
124,-2208.3,623
125,-2208.3,823
126,-2008.2,823
127,-2008.2,623
128,-2008.2,423
129,-2008.2,223
130,-2008.2,23
131,-2008.2,-177
132,-2008.2,-377
133,-2008.2,-577
134,-2008.2,-777
135,-1808.2,-777
136,-1808.2,-577
137,-1808.2,-377
138,-1808.2,-177
139,-1808.2,23
140,-1808.2,223
141,-1808.2,423
142,-1808.2,623
143,-1808.2,823
144,-1608.2,823
145,-1608.2,623
146,-1608.2,423
147,-1608.2,223
148,-1608.2,23
149,-1608.2,-177
150,-1608.2,-377
151,-1608.2,-577
152,-1608.2,-777
153,-1408.3,-777
154,-1408.3,-577
155,-1408.3,-377
156,-1408.3,-177
157,-1408.3,23
158,-1408.3,223
159,-1408.3,423
160,-1408.3,623
161,-1408.3,823
162,-3118.7,2687.2
163,-3118.7,2887.2
164,-3118.7,3087.2
165,-3118.7,3287.2
166,-3118.7,3487.2
167,-3118.7,3687.2
168,-3118.7,3887.2
169,-3118.7,4087.2
170,-3118.7,4287.2
171,-2918.7,4287.2
172,-2918.7,4087.2
173,-2918.7,3887.2
174,-2918.7,3687.2
175,-2918.7,3487.2
176,-2918.7,3287.2
177,-2918.7,3087.2
178,-2918.7,2887.2
179,-2918.7,2687.2
180,-2718.7,2687.2
181,-2718.7,2887.2
182,-2718.7,3087.2
183,-2718.7,3287.2
184,-2718.7,3487.2
185,-2718.7,3687.2
186,-2718.7,3887.2
187,-2718.7,4087.2
188,-2718.7,4287.2
189,-2518.7,4287.2
190,-2518.7,4087.2
191,-2518.7,3887.2
192,-2518.7,3687.2
193,-2518.7,3487.2
194,-2518.7,3287.2
195,-2518.7,3087.2
196,-2518.7,2887.2
197,-2518.7,2687.2
198,-2318.7,2687.2
199,-2318.7,2887.2
200,-2318.7,3087.2
201,-2318.7,3287.2
202,-2318.7,3487.2
203,-2318.7,3687.2
204,-2318.7,3887.2
205,-2318.7,4087.2
206,-2318.7,4287.2
207,-2118.7,4287.2
208,-2118.7,4087.2
209,-2118.7,3887.2
210,-2118.7,3687.2
211,-2118.7,3487.2
212,-2118.7,3287.2
213,-2118.7,3087.2
214,-2118.7,2887.2
215,-2118.7,2687.2
216,-1918.7,2687.2
217,-1918.7,2887.2
218,-1918.7,3087.2
219,-1918.7,3287.2
220,-1918.7,3487.2
221,-1918.7,3687.2
222,-1918.7,3887.2
223,-1918.7,4087.2
224,-1918.7,4287.2
225,-1718.7,4287.2
226,-1718.7,4087.2
227,-1718.7,3887.2
228,-1718.7,3687.2
229,-1718.7,3487.2
230,-1718.7,3287.2
231,-1718.7,3087.2
232,-1718.7,2887.2
233,-1718.7,2687.2
234,-1518.7,2687.2
235,-1518.7,2887.2
236,-1518.7,3087.2
237,-1518.7,3287.2
238,-1518.7,3487.2
239,-1518.7,3687.2
240,-1518.7,3887.2
241,-1518.7,4087.2
242,-1518.7,4287.2
243,1426.7,2296.1
244,1426.7,2496.1
245,1426.7,2696.1
246,1426.7,2896.1
247,1426.7,3096.1
248,1426.7,3296.1
249,1426.7,3496.1
250,1426.7,3696.1
251,1426.7,3896.1
252,1626.7,3896.1
253,1626.7,3696.1
254,1626.7,3496.1
255,1626.7,3296.1
256,1626.7,3096.1
257,1626.7,2896.1
258,1626.7,2696.1
259,1626.7,2496.1
260,1626.7,2296.1
261,1826.6,2296.1
262,1826.6,2496.1
263,1826.6,2696.1
264,1826.6,2896.1
265,1826.6,3096.1
266,1826.6,3296.1
267,1826.6,3496.1
268,1826.6,3696.1
269,1826.6,3896.1
270,2026.6,3896.1
271,2026.6,3696.1
272,2026.6,3496.1
273,2026.6,3296.1
274,2026.6,3096.1
275,2026.6,2896.1
276,2026.6,2696.1
277,2026.6,2496.1
278,2026.6,2296.1
279,2226.6,2296.1
280,2226.6,2496.1
281,2226.6,2696.1
282,2226.6,2896.1
283,2226.6,3096.1
284,2226.6,3296.1
285,2226.6,3496.1
286,2226.6,3696.1
287,2226.6,3896.1
288,2426.7,3896.1
289,2426.7,3696.1
290,2426.7,3496.1
291,2426.7,3296.1
292,2426.7,3096.1
293,2426.7,2896.1
294,2426.7,2696.1
295,2426.7,2496.1
296,2426.7,2296.1
297,2626.7,2296.1
298,2626.7,2496.1
299,2626.7,2696.1
300,2626.7,2896.1
301,2626.7,3096.1
302,2626.7,3296.1
303,2626.7,3496.1
304,2626.7,3696.1
305,2626.7,3896.1
306,2826.6,3896.1
307,2826.6,3696.1
308,2826.6,3496.1
309,2826.6,3296.1
310,2826.6,3096.1
311,2826.6,2896.1
312,2826.6,2696.1
313,2826.6,2496.1
314,2826.6,2296.1
315,3026.6,2296.1
316,3026.6,2496.1
317,3026.6,2696.1
318,3026.6,2896.1
319,3026.6,3096.1
320,3026.6,3296.1
321,3026.6,3496.1
322,3026.6,3696.1
323,3026.6,3896.1
324,1495.7,-616
325,1495.7,-416
326,1495.7,-216
327,1495.7,-16
328,1495.7,184
329,1495.7,384
330,1495.7,584
331,1495.7,784
332,1495.7,984
333,1695.7,984
334,1695.7,784
335,1695.7,584
336,1695.7,384
337,1695.7,184
338,1695.7,-16
339,1695.7,-216
340,1695.7,-416
341,1695.7,-616
342,1895.7,-616
343,1895.7,-416
344,1895.7,-216
345,1895.7,-16
346,1895.7,184
347,1895.7,384
348,1895.7,584
349,1895.7,784
350,1895.7,984
351,2095.7,984
352,2095.7,784
353,2095.7,584
354,2095.7,384
355,2095.7,184
356,2095.7,-16
357,2095.7,-216
358,2095.7,-416
359,2095.7,-616
360,2295.7,-616
361,2295.7,-416
362,2295.7,-216
363,2295.7,-16
364,2295.7,184
365,2295.7,384
366,2295.7,584
367,2295.7,784
368,2295.7,984
369,2495.7,984
370,2495.7,784
371,2495.7,584
372,2495.7,384
373,2495.7,184
374,2495.7,-16
375,2495.7,-216
376,2495.7,-416
377,2495.7,-616
378,2695.7,-616
379,2695.7,-416
380,2695.7,-216
381,2695.7,-16
382,2695.7,184
383,2695.7,384
384,2695.7,584
385,2695.7,784
386,2695.7,984
387,2895.7,984
388,2895.7,784
389,2895.7,584
390,2895.7,384
391,2895.7,184
392,2895.7,-16
393,2895.7,-216
394,2895.7,-416
395,2895.7,-616
396,3095.7,-616
397,3095.7,-416
398,3095.7,-216
399,3095.7,-16
400,3095.7,184
401,3095.7,384
402,3095.7,584
403,3095.7,784
404,3095.7,984
405,1316.2,-3900.7
406,1316.2,-3700.8
407,1316.2,-3500.8
408,1316.2,-3300.8
409,1316.2,-3100.7
410,1316.2,-2900.7
411,1316.2,-2700.8
412,1316.2,-2500.8
413,1316.2,-2300.8
414,1516.2,-2300.8
415,1516.2,-2500.8
416,1516.2,-2700.8
417,1516.2,-2900.7
418,1516.2,-3100.7
419,1516.2,-3300.8
420,1516.2,-3500.8
421,1516.2,-3700.8
422,1516.2,-3900.7
423,1716.2,-3900.7
424,1716.2,-3700.8
425,1716.2,-3500.8
426,1716.2,-3300.8
427,1716.2,-3100.7
428,1716.2,-2900.7
429,1716.2,-2700.8
430,1716.2,-2500.8
431,1716.2,-2300.8
432,1916.2,-2300.8
433,1916.2,-2500.8
434,1916.2,-2700.8
435,1916.2,-2900.7
436,1916.2,-3100.7
437,1916.2,-3300.8
438,1916.2,-3500.8
439,1916.2,-3700.8
440,1916.2,-3900.7
441,2116.2,-3900.7
442,2116.2,-3700.8
443,2116.2,-3500.8
444,2116.2,-3300.8
445,2116.2,-3100.7
446,2116.2,-2900.7
447,2116.2,-2700.8
448,2116.2,-2500.8
449,2116.2,-2300.8
450,2316.2,-2300.8
451,2316.2,-2500.8
452,2316.2,-2700.8
453,2316.2,-2900.7
454,2316.2,-3100.7
455,2316.2,-3300.8
456,2316.2,-3500.8
457,2316.2,-3700.8
458,2316.2,-3900.7
459,2516.2,-3900.7
460,2516.2,-3700.8
461,2516.2,-3500.8
462,2516.2,-3300.8
463,2516.2,-3100.7
464,2516.2,-2900.7
465,2516.2,-2700.8
466,2516.2,-2500.8
467,2516.2,-2300.8
468,2716.2,-2300.8
469,2716.2,-2500.8
470,2716.2,-2700.8
471,2716.2,-2900.7
472,2716.2,-3100.7
473,2716.2,-3300.8
474,2716.2,-3500.8
475,2716.2,-3700.8
476,2716.2,-3900.7
477,2916.2,-3900.7
478,2916.2,-3700.8
479,2916.2,-3500.8
480,2916.2,-3300.8
481,2916.2,-3100.7
482,2916.2,-2900.7
483,2916.2,-2700.8
484,2916.2,-2500.8
485,2916.2,-2300.8
